exercise_id,name,description,level,instructions,equipment_needed,overloading,power_strength_supplement,isolation_compound_accessory,push_pull_legs_core,vertical_horizontal_rotational,stretch,video_url
1,Assisted Dips,Dips using an assisted dip machine to reduce resistance.,Beginner,"1. Get into the starting position for Assisted Dips.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,strength,accessory,push,vertical,0,
2,Push-ups,Bodyweight exercise performed by raising and lowering the body using the arms.,Beginner,"1. Get into the starting position for Push-ups.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",0,0,strength,accessory,push,horizontal,0,
3,Bulgarian Split Squats,"Single-leg squat variation with rear foot elevated, challenging balance and strength.",Intermediate,"1. Get into the starting position for Bulgarian Split Squats.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,strength,compound,legs,,0,
4,Machine Standing Calf Raise,Calf raise exercise performed using a dedicated calf raise machine.,Beginner,"1. Get into the starting position for Machine Standing Calf Raise.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,supplement,isolation,legs,,0,
5,Bench Press,"Compound exercise using a barbell to target the chest, shoulders, and triceps.",Intermediate,"1. Get into the starting position for Bench Press.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,strength,compound,push,horizontal,0,
6,Incline Bench Press,"Bench press variation performed on an incline bench, emphasizing the upper chest.",Beginner,"1. Get into the starting position for Incline Bench Press.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,strength,compound,push,horizontal,0,
7,Bent Over Cable Crossover,Isolation exercise using cables to target the chest muscles.,Beginner,"1. Get into the starting position for Bent Over Cable Crossover.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,strength,accessory,push,horizontal,0,
8,Cable Side Lateral Raise,Isolation exercise using cables to target the shoulder muscles.,Beginner,"1. Get into the starting position for Cable Side Lateral Raise.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,supplement,isolation,pull,,0,
9,Shoulder Press,Compound exercise using a barbell to target the shoulders and triceps.,Beginner,"1. Get into the starting position for Shoulder Press.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,1,strength,compound,push,vertical,0,
10,Cable Reverse Fly,Isolation exercise using cables to target the rear deltoids.,Intermediate,"1. Get into the starting position for Cable Reverse Fly.
2. Perform the movement with controlled form.
3. Complete the desired number of repetitions.
4. Return to the starting position safely.",1,0,supplement,accessory,pull,horizontal,0,
